date,open,high,low,close,volume,% daily gain/loss,avg daily price,usd traded
2017-11-06,13.124,16.3,12.91,13.834,1799368.41347065,5.409935995123431,14.6,
2017-11-07,13.862,15.5999999,13.1,13.542,729098.31242115,-2.308469196364163,14.35,
2017-11-08,13.555,14.443,13.497,13.908,583631.76966323,2.6042050903725547,13.97,
2017-11-09,13.915,14.526,13.6,14.109,552075.81581376,1.3941789435860643,14.06,
2017-11-10,14.085,15.48,12.964,14.5,1373955.53601093,2.94639687610933,14.22,
2017-11-11,14.403,19.90959992,13.98,19.102,2937265.58650392,32.62514753870721,16.94,
2017-11-12,19.159,23.0,13.75,16.2035,2720298.49140997,-15.426170468187278,18.38,
2017-11-13,16.20726767,17.5,14.11,16.0,1102165.68629474,-1.2788563391450438,15.8,
2017-11-14,16.20000001,19.69336163,15.785,17.405,1429152.97379865,7.438271538618357,17.74,
2017-11-15,17.495,18.19,14.0,17.16,483405.08287253,-1.9148328093741118,16.1,
2017-11-16,17.16,17.272,15.511,16.815,663999.15714603,-2.0104895104895038,16.39,
2017-11-17,16.815,17.866,13.6,16.937,756672.05728597,0.7255426702349086,15.73,
2017-11-18,17.091,18.342,15.51551552,17.615,688223.95189127,3.0659411386109494,16.93,
2017-11-19,17.62,18.2,17.2,17.964,412931.65958637,1.9523269012485676,17.7,
2017-11-20,17.966,19.0,17.2131,18.505,637122.70806412,3.0001113213848263,18.11,
2017-11-21,18.505,18.7,16.983,17.615,676377.24948751,-4.809510942988385,17.84,
2017-11-22,17.614,18.199,17.500001,17.961,289165.53256339,1.9700238446690004,17.85,
2017-11-23,17.986,18.85,17.608,17.929,648840.58460319,-0.316913154675871,18.23,
2017-11-24,17.923,21.388,16.9,20.01,1559481.06464839,11.64425598393128,19.14,
2017-11-25,20.01,22.76,19.52,21.339,1364064.7939748,6.641679160419775,21.14,
2017-11-26,21.337,23.05,19.99875113,21.801,610406.88030924,2.174626236115661,21.52,
2017-11-27,21.801,25.84,20.1,24.677,2408750.04707419,13.192055410302286,22.97,
2017-11-28,24.607,33.99,23.5,31.47000986,3571618.09375568,27.890477750233682,28.74,
2017-11-29,31.399,31.81,20.0,24.324,2318665.9226375,-22.532564731360868,25.9,
2017-11-30,24.307,28.5,21.23,26.0,1797630.45041605,6.965071790019342,24.86,
2017-12-01,25.958,30.5,24.085,28.81,1331359.92423366,10.986978966022038,27.29,
2017-12-02,29.793,30.758,27.7,28.75,786370.96222155,-3.5008223408183103,29.23,
2017-12-03,28.871,31.0,27.187,28.901,653269.058369,0.10391049842402805,29.09,
2017-12-04,28.9,29.752,27.31,29.239,415749.41127357,1.1730103806228451,28.53,
2017-12-05,29.16,29.8,27.75,27.903,535511.98695086,-4.310699588477371,28.78,
2017-12-06,27.903,29.349999,23.703,24.854,866072.88079201,-10.927140450847578,26.53,
2017-12-07,24.85,28.95,23.133,23.335,770585.85668694,-6.096579476861169,26.04,
2017-12-08,23.332,27.846,22.077,27.758,1293693.77783693,18.969655408880502,24.96,
2017-12-09,27.713,31.277,24.686,27.685,1712110.91664727,-0.10103561505431474,27.98,
2017-12-10,27.61,28.9,23.134,25.177,947977.7161606,-8.812024628757696,26.02,
2017-12-11,25.42,29.7,25.157,27.252,1000284.54887798,7.206923682140036,27.43,
